ems_call,MedFacilitiesCount2mi,PharmCount2mi,DrugDropCount2mi,NaloxoneDistribCount2mi
1,16,11,2,3
2,16,11,2,3
2,16,11,2,3
1,16,11,2,3
2,16,11,2,3
2,16,11,2,3
1,16,11,2,3
2,16,11,2,3
2,16,11,2,3
1,16,11,2,3
2,16,11,2,3
2,16,11,2,3
1,16,11,2,3
2,16,11,2,3
2,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,11,2,3
1,16,14,4,9
1,16,14,4,9
2,16,14,4,9
2,16,14,4,9
2,16,14,4,9
2,16,14,4,9
1,16,14,4,9
1,16,14,4,9
2,19,16,2,3
2,19,16,2,3
1,19,16,2,3
3,19,16,2,3
3,19,16,2,3
3,19,16,2,3
1,19,16,2,3
1,19,16,2,3
3,19,16,2,3
3,19,16,2,3
3,19,16,2,3
1,19,16,2,3
2,19,16,2,3
2,19,16,2,3
1,19,16,2,3
1,19,16,2,3
1,19,16,2,3
2,19,16,2,3
2,19,16,2,3
1,19,16,2,3
1,19,16,2,3
1,19,16,2,3
2,19,16,2,3
2,19,16,2,3
1,19,16,2,3
1,16,17,3,7
1,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
1,16,17,3,7
1,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
2,16,17,3,7
3,16,17,3,7
3,16,17,3,7
3,16,17,3,7
1,16,17,3,7
1,16,17,3,7
1,16,17,3,7
1,16,17,3,7
1,16,17,3,7
1,41,20,2,8
1,41,20,2,8
1,41,20,2,8
2,41,20,2,8
2,41,20,2,8
2,41,20,2,8
2,41,20,2,8
1,41,20,2,8
1,41,20,2,8
1,41,20,2,8
1,41,20,2,8
1,41,20,2,8
2,41,20,2,8
2,41,20,2,8
2,11,13,0,4
