,LicenseNumber,Phone,BusinessName,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,FullAddr,Lat,Long,geometry
0,22463050,(513) 862-3550,BETHESDA NORTH APOTHECARY,10500 MONTGOMERY RD,CINCINNATI,OH,45242,Hamilton,"10500 MONTGOMERY RD, CINCINNATI, OH",39.1437024,-84.4702091,POINT (-84.47020910000001 39.1437024)
1,20253100,(513) 263-8760,CANN MEDICAL CENTER,5818 Madison Rd,Cincinnati,OH,45227-1708,Hamilton,"5818 Madison Rd, Cincinnati, OH",39.1611207,-84.3934759,POINT (-84.3934759 39.1611207)
2,20345000,5133523094,CINCINNATI HEALTH DEPARTMENT,1525 ELM STREET ELM STREET HEALTH CENTER,CINCINNATI,OH,45202,Hamilton,"1525 ELM STREET ELM STREET HEALTH CENTER, CINCINNATI, OH",39.112119,-84.5196466389599,POINT (-84.5196466389599 39.112119)
3,22571200,(401) 765-1500,CVS PHARMACY #16779,4825A MARBURG AVE.,CINCINNATI,OH,45209,Hamilton,"4825A MARBURG AVE., CINCINNATI, OH",39.1632641073825,-84.4247287449664,POINT (-84.4247287449664 39.1632641073825)
4,22571300,(401) 765-1500,CVS PHARMACY #16873,9040 COLERAIN AVE.,CINCINNATI,OH,45251,Hamilton,"9040 COLERAIN AVE., CINCINNATI, OH",39.1668806,-84.5535539,POINT (-84.5535539 39.1668806)
5,22572450,(401) 765-1500,CVS PHARMACY #17534,6150 GLENWAY AVE.,CINCINNATI,OH,45211,Hamilton,"6150 GLENWAY AVE., CINCINNATI, OH",39.1442278631911,-84.6223112000467,POINT (-84.6223112000467 39.1442278631911)
6,22013700,(401) 765-1500,CVS/PHARMACY # 6087,7700 HAMILTON AVENUE,MOUNT HEALTHY,OH,45231,Hamilton,"7700 HAMILTON AVENUE, MOUNT HEALTHY, OH",39.233649,-84.547988,POINT (-84.547988 39.233649)
7,22013100,(401) 765-1500,CVS/PHARMACY # 6097,9525 KENWOOD ROAD SUITE 1,CINCINNATI,OH,45242,Hamilton,"9525 KENWOOD ROAD SUITE 1, CINCINNATI, OH",39.162074,-84.385604,POINT (-84.385604 39.162074)
8,22013150,(401) 765-1500,CVS/PHARMACY # 6100,5811 COLERAIN AVENUE,CINCINNATI,OH,45239,Hamilton,"5811 COLERAIN AVENUE, CINCINNATI, OH",39.1668806,-84.5535539,POINT (-84.5535539 39.1668806)
9,22013200,(401) 765-1500,CVS/PHARMACY # 6101,8560 WINTON ROAD,CINCINNATI,OH,45231,Hamilton,"8560 WINTON ROAD, CINCINNATI, OH",39.1796072,-84.5197474,POINT (-84.5197474 39.1796072)
10,22013250,(401) 765-1500,CVS/PHARMACY # 6103,7001 MIAMI AVENUE,CINCINNATI,OH,45243,Hamilton,"7001 MIAMI AVENUE, CINCINNATI, OH",39.131903,-84.4014793,POINT (-84.40147930000001 39.131903)
