,ADDRESS,Business Name,Business Type,Business Type Category,CITY,COUNTY,Dispenses Naloxone,Lat,Layer,Location Address Line 1,Location Address Line 2,Location City,Location County,Location State,Location Zip,Lon,Long,NAME,TYPE,ZIP,geometry
0,85 North Grand Avenue,,,,Ft. Thomas,Campbell,,39.07870495,Hospital,,,,,,,,-84.4668956281206,St. Elizabeth Ft. Thomas,HospitalsGeneral,41075.0,POINT (-84.4668956281206 39.07870495)
1,,DANIEL DRAKE CENTER FOR POST-ACUTE CARE,HospitalsGeneral,1.0,,,False,39.213279,,151 W Galbraith Rd,,Cincinnati,Hamilton,OH,45216,-84.47868299999999,,,,,POINT (-84.47868299999999 39.213279)
2,,Encompass Health Rehabilitation Hospital of Cincinnati,HospitalsGeneral,1.0,,,False,39.213279,,151 W Galbraith Rd,,Cincinnati,Hamilton,OH,45216,-84.47868299999999,,,,,POINT (-84.47868299999999 39.213279)
3,,CHRIST HOSPITAL,HospitalsGeneral,1.0,,,False,39.121175,,2139 Auburn Ave,,Cincinnati,Hamilton,OH,45219,-84.508677,,,,,POINT (-84.50867700000001 39.121175)
4,,DANIEL DRAKE CENTER FOR POST-ACUTE CARE,HospitalsGeneral,1.0,,,False,39.121175,,2139 Auburn Ave Unit 3, UNIT 3 WEST,Cincinnati,Hamilton,OH,45219,-84.508677,,,,,POINT (-84.50867700000001 39.121175)
5,,TRIHEALTH REHABILITATION HOSPITAL LLC,HospitalsGeneral,1.0,,,False,39.145225,,2155 DANA AVENUE,,CINCINNATI,HAMILTON,OH,45207,-84.45869,,,,,POINT (-84.45869 39.145225)
6,,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",HospitalsGeneral,1.0,,,False,39.136863,,234 GOODMAN STREET,,CINCINNATI,HAMILTON,OH,45219,-84.50251,,,,,POINT (-84.50251 39.136863)
7,,UC - MEDICAL CENTER - RIDGEWAY,HospitalsGeneral,1.0,,,False,39.136742,,3200 Burnet Ave,,Cincinnati,Hamilton,OH,45229,-84.500679,,,,,POINT (-84.50067900000001 39.136742)
8,,DEPARTMENT OF VETERANS AFFAIRS,HospitalsGeneral,1.0,,,False,39.137929,,3200 VINE ST,,CINCINNATI,HAMILTON,OH,45220,-84.509344,,,,,POINT (-84.509344 39.137929)
9,,MERCY HOSPITAL WEST,HospitalsGeneral,1.0,,,False,39.1538,,3300 MERCY HEALTH BLVD,,CINCINNATI,HAMILTON,OH,45211,-84.6009,,,,,POINT (-84.6009 39.1538)
10,,GOOD SAMARITAN HOSPITAL,HospitalsGeneral,1.0,,,False,39.140761,,375 Dixmyth Ave,,Cincinnati,Hamilton,OH,45220,-84.522244,,,,,POINT (-84.522244 39.140761)
