,Name,Type,Subtype,City,Zip,Lat,Lon,geometry
0,Scottsdale Osborn Medical Center Pharmacy,Pharmacy,Hospital,Scottsdale,85251,33.487776,-111.922888,POINT (-111.922888 33.487776)
1,Walgreens Drug #01197,Pharmacy,Chain,Tempe,85282,33.392813,-111.910238,POINT (-111.910238 33.392813)
2,Walgreens Drug #03768,Pharmacy,Chain,Tempe,85283,33.363105,-111.911377,POINT (-111.911377 33.363105)
3,Walgreens Drug #03087,Pharmacy,Chain,Phoenix,85018,33.479887,-111.959933,POINT (-111.959933 33.479887)
4,Walgreens Drug #13870,Pharmacy,Chain,Phoenix,85044,33.348754,-111.978872,POINT (-111.978872 33.348754)
5,Walgreens Drug #11182,Pharmacy,Chain,Mesa,85210,33.393319,-111.855775,POINT (-111.855775 33.393319)
6,Bashas' United Drug #048,Pharmacy,Chain,Tempe,85284,33.334493,-111.91167,POINT (-111.91167 33.334493)
7,Costco Pharmacy #436,Pharmacy,Chain,Tempe,85284,33.348888,-111.962066,POINT (-111.962066 33.348888)
8,Patient Care Infusion Pharmacy,Pharmacy,Limited Service,Tempe,85281,33.410282,-111.96774,POINT (-111.96774 33.410282)
9,Coram CVS/Specialty Infusion Services,Pharmacy,Limited Service,Phoenix,85040,33.402474,-111.989789,POINT (-111.989789 33.402474)
10,Walgreens Drug #03531,Pharmacy,Chain,Chandler,85226,33.305232,-111.927476,POINT (-111.927476 33.305232)
11,Civic Center Pharmacy,Pharmacy,Independent,Scottsdale,85251,33.486738,-111.92373,POINT (-111.92373 33.486738)
12,Wal-Mart Pharmacy #10-2482,Pharmacy,Chain,Mesa,85201,33.430983,-111.873974,POINT (-111.873974 33.430983)
13,Frys Pharmacy #113,Pharmacy,Chain,Mesa,85201,33.414666,-111.857863,POINT (-111.857863 33.414666)
14,Walgreens Drug #03727,Pharmacy,Chain,Chandler,85224,33.334643,-111.876201,POINT (-111.876201 33.334643)
15,Walgreens Drug #09202,Pharmacy,Chain,Mesa,85210,33.364375,-111.858303,POINT (-111.858303 33.364375)
16,Walgreens Drug #04376,Pharmacy,Chain,Tempe,85284,33.334503,-111.909839,POINT (-111.909839 33.334503)
17,Walgreens Drug #02398,Pharmacy,Chain,Tempe,85283,33.378079,-111.953051,POINT (-111.953051 33.378079)
18,Frys Pharmacy #124,Pharmacy,Chain,Tempe,85282,33.393718,-111.926151,POINT (-111.926151 33.393718)
19,Wal-Mart Pharmacy #10-1746,Pharmacy,Chain,Tempe,85284,33.349322,-111.961358,POINT (-111.961358 33.349322)
20,Walgreens Drug #02056,Pharmacy,Chain,Chandler,85224,33.305785,-111.875968,POINT (-111.875968 33.305785)
21,Walgreens Drug #03163,Pharmacy,Chain,Scottsdale,85251,33.488055,-111.926399,POINT (-111.926399 33.488055)
22,Walgreens Drug #11610,Pharmacy,Chain,Tempe,85282,33.407133,-111.940017,POINT (-111.940017 33.407133)
23,Sams Pharmacy #10-6213,Pharmacy,Chain,Chandler,85226,33.315375,-111.968579,POINT (-111.968579 33.315375)
24,Frys Pharmacy #022,Pharmacy,Chain,Tempe,85283,33.363631,-111.909823,POINT (-111.909823 33.363631)
25,Fry's Pharmacy #051,Pharmacy,Chain,Chandler,85224,33.320797,-111.875709,POINT (-111.875709 33.320797)
26,Frys Pharmacy #101,Pharmacy,Chain,Tempe,85282,33.394295,-111.939764,POINT (-111.939764 33.394295)
27,Walgreens Drug #05039,Pharmacy,Chain,Mesa,85201,33.422397,-111.847582,POINT (-111.847582 33.422397)
28,Fry's Pharmacy #607,Pharmacy,Chain,Tempe,85282,33.378913,-111.909404,POINT (-111.909404 33.378913)
29,CVS/pharmacy #03965,Pharmacy,Chain,Chandler,85226,33.305146,-111.944818,POINT (-111.944818 33.305146)
30,PETNET Solutions  Inc.,Pharmacy,Limited Service,Phoenix,85040,33.403756,-111.993665,POINT (-111.993665 33.403756)
31,Greenbaum Specialty Surgical Hospital,Pharmacy,Hospital,Scottsdale,85251,33.489968,-111.925891,POINT (-111.925891 33.489968)
32,Cardinal Health,Pharmacy,Limited Service,Tempe,85281,33.427528,-111.966151,POINT (-111.966151 33.427528)
33,Walgreens Drug #06784,Pharmacy,Chain,Mesa,85201,33.41509,-111.875275,POINT (-111.875275 33.41509)
34,CVS Pharmacy #05315,Pharmacy,Chain,Chandler,85224,33.335958,-111.876207,POINT (-111.876207 33.335958)
35,Community Clinical Pharmacy,Pharmacy,Independent,Mesa,85202,33.389085,-111.87481,POINT (-111.87481 33.389085)
36,Walgreens Drug #04138,Pharmacy,Chain,Scottsdale,85257,33.465578,-111.91088,POINT (-111.91088 33.465578)
37,Walgreens Drug #04422,Pharmacy,Chain,Phoenix,85040,33.392485,-111.996865,POINT (-111.996865 33.392485)
38,Fry's Pharmacy #005,Pharmacy,Chain,Scottsdale,85257,33.466001,-111.913219,POINT (-111.913219 33.466001)
39,Frys Pharmacy #043,Pharmacy,Chain,Tempe,85283,33.378343,-111.977014,POINT (-111.977014 33.378343)
40,Frys Pharmacy #134,Pharmacy,Chain,Scottsdale,85251,33.480267,-111.949256,POINT (-111.949256 33.480267)
41,Banner Behavioral Health Hospital,Pharmacy,Hospital,Scottsdale,85251,33.483854,-111.918339,POINT (-111.918339 33.483854)
42,Banner Desert Medical Center,Pharmacy,Hospital,Mesa,85202,33.390773,-111.874786,POINT (-111.874786 33.390773)
43,Omnicare of Chandler,Pharmacy,Limited Service,Chandler,85226,33.312489,-111.960992,POINT (-111.960992 33.312489)
44,Fry's Pharmacy #627,Pharmacy,Chain,Tempe,85284,33.322126,-111.928372,POINT (-111.928372 33.322126)
45,CVS/caremark,Pharmacy,Chain,Phoenix,85040,33.402761,-111.991738,POINT (-111.991738 33.402761)
46,Bashas United Drug #011,Pharmacy,Chain,Phoenix,85044,33.331161,-111.979084,POINT (-111.979084 33.331161)
47,Arizona Specialty Hospital,Pharmacy,Hospital,Chandler,85224,33.3347,-111.891218,POINT (-111.891218 33.3347)
48,CVS/pharmacy #00033,Pharmacy,Chain,Tempe,85282,33.407699,-111.910288,POINT (-111.910288 33.407699)
49,CVS Pharmacy #00040,Pharmacy,Chain,Tempe,85283,33.37847,-111.962315,POINT (-111.962315 33.37847)
50,CVS/pharmacy #03967,Pharmacy,Chain,Chandler,85226,33.320238,-111.910793,POINT (-111.910793 33.320238)
51,CVS Pharmacy #05950,Pharmacy,Chain,Tempe,85284,33.348974,-111.929008,POINT (-111.929008 33.348974)
52,CVS Pharmacy #07078,Pharmacy,Chain,Tempe,85282,33.392774,-111.926151,POINT (-111.926151 33.392774)
53,CVS Pharmacy #9218,Pharmacy,Chain,Mesa,85202,33.393977,-111.874428,POINT (-111.874428 33.393977)
54,CVS/pharmacy #9290,Pharmacy,Chain,Phoenix,85044,33.320529,-111.988659,POINT (-111.988659 33.320529)
55,Korman Healthcare Pharmacy,Pharmacy,Limited Service,Chandler,85226,33.309026,-111.940224,POINT (-111.940224 33.309026)
56,CVS Pharmacy #00052,Pharmacy,Chain,Phoenix,85048,33.305047,-111.980615,POINT (-111.980615 33.305047)
57,OnePoint Patient Care LLC,Pharmacy,Independent,Tempe,85282,33.395806,-111.960924,POINT (-111.960924 33.395806)
58,CVS Pharmacy #9205,Pharmacy,Chain,Tempe,85281,33.421842,-111.940226,POINT (-111.940226 33.421842)
59,CVS Pharmacy #9283,Pharmacy,Chain,Chandler,85224,33.305762,-111.876568,POINT (-111.876568 33.305762)
60,CVS Pharmacy #9328,Pharmacy,Chain,Scottsdale,85251,33.480226,-111.910215,POINT (-111.910215 33.480226)
61,Osco Drug  #940,Pharmacy,Chain,Tempe,85283,33.363887,-111.930206,POINT (-111.930206 33.363887)
62,Osco Drug  #2955,Pharmacy,Chain,Scottsdale,85257,33.478802,-111.925993,POINT (-111.925993 33.478802)
63,Osco Drug  #2997,Pharmacy,Chain,Chandler,85226,33.320228,-111.91256,POINT (-111.91256 33.320228)
64,Tempe St. Luke's Hospital,Pharmacy,Hospital,Tempe,85281,33.412378,-111.940084,POINT (-111.940084 33.412378)
