,Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site
0,Oxycodone,1.11,40.54,(1) Mon,0.01,0.26,(05) May,0,47.26,2018-05-14 03:00:00,TP04
1,Oxycodone,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04
2,Oxycodone,2.03,45.45,(3) Wed,0.01,0.32,(05) May,0,58.3,2018-05-16 03:00:00,TP04
3,Oxycodone,0.32,48.86,(4) Thu,0.0,0.33,(05) May,0,60.19,2018-05-17 03:00:00,TP04
4,Oxycodone,0.31,36.5,(5) Fri,0.0,0.22,(05) May,0,40.99,2018-05-18 03:00:00,TP04
5,Oxycodone,0.59,19.52,(6) Sat,0.0,0.11,(05) May,0,19.68,2018-05-19 03:00:00,TP04
6,Oxycodone,7.23,85.38,(7) Sun,0.04,0.47,(05) May,0,86.44,2018-05-20 03:00:00,TP04
7,Noroxycodone,0.86,51.42,(1) Mon,0.01,0.33,(05) May,0,59.94,2018-05-14 03:00:00,TP04
8,Noroxycodone,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04
9,Noroxycodone,0.84,55.61,(3) Wed,0.01,0.39,(05) May,0,71.32,2018-05-16 03:00:00,TP04
10,Noroxycodone,1.14,62.11,(4) Thu,0.01,0.42,(05) May,0,76.52,2018-05-17 03:00:00,TP04
11,Noroxycodone,1.15,47.38,(5) Fri,0.01,0.29,(05) May,0,53.21,2018-05-18 03:00:00,TP04
12,Noroxycodone,0.22,23.07,(6) Sat,0.0,0.13,(05) May,0,23.26,2018-05-19 03:00:00,TP04
13,Noroxycodone,9.32,81.43,(7) Sun,0.05,0.45,(05) May,0,82.43,2018-05-20 03:00:00,TP04
14,Codeine,1.69,40.92,(1) Mon,0.01,0.26,(05) May,0,47.7,2018-05-14 03:00:00,TP04
15,Codeine,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04
16,Codeine,1.02,31.81,(3) Wed,0.01,0.22,(05) May,0,40.79,2018-05-16 03:00:00,TP04
