LicenseNumber,Phone,BusinessName,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty
021220950,(513) 732-5084,HEALTHSOURCE SEAMAN PHARMACY,218 STERN DRIVE,SEAMAN,OH,45679,Adams
022424300,(937) 544-8989,SOMC PHARMACY WEST UNION,90 CIC BOULEVARD,WEST UNION,OH,45693,Adams
020599350,(479) 204-2258,WAL-MART PHARMACY 10-1368,11217 STATE ROUTE 41,WEST UNION,OH,45693,Adams
022833400,(401) 765-1500,CVS/PHARMACY #11213,126 N. MAIN STREET,BLUFFTON,OH,45817,Allen
020961050,(401) 765-1500,CVS/PHARMACY #4445,2620 W. BREESE RD.,LIMA,OH,45806,Allen
020882750,(401) 765-1500,CVS/PHARMACY #4447,900 BELLEFONTAINE ROAD,LIMA,OH,45804,Allen
020721600,(419) 331-6410,MEIJER PHARMACY #110,3298 ELIDA ROAD,LIMA,OH,45805,Allen
022777050,(419) 995-4949,MERCY HEALTH LIMA OUTPATIENT PHARMACY,730 WEST MARKET STREET,LIMA,OH,45801,Allen
020118950,419-222-7797,RITE AID #2319,506 W. MARKET STREET,LIMA,OH,458014718,Allen
020170200,(419) 229-5846,RITE AID #2351,302 W. ROBB AVENUE,LIMA,OH,458012745,Allen
020407600,(419) 228-2296,RITE AID #2367,1415 BELLFONTAINE AVENUE,LIMA,OH,458043168,Allen
020452350,(419) 695-8055,RITE AID #3185,940 ELIDA AVENUE,DELPHOS,OH,45833,Allen
021135500,(419) 991-2867,RITE AID #3580,3710 SHAWNEE ROAD,LIMA,OH,458061619,Allen
021913100,(419) 221-3679,RITE AID PHARMACY #7928,3230 WEST ELM STREET,LIMA,OH,45805,Allen
022040250,(479) 204-2258,SAM'S PHARMACY 10-6375,1150 GREELY CHAPEL ROAD,LIMA,OH,45804,Allen
020582350,(479) 204-2258,WAL-MART PHARMACY 10-1330,2450 ALLENTOWN ROAD,LIMA,OH,45805,Allen
021328050,(479) 204-2258,WAL-MART PHARMACY 10-3206,2400 HARDING HWY,LIMA,OH,45801,Allen
021374200,(847) 527-4251,WALGREENS #07441,701 N. CABLE RD,LIMA,OH,458051737,Allen
021435000,(847) 527-4251,WALGREENS #07684,2366 HARDING HWY,LIMA,OH,458043426,Allen
022012050,(401) 765-1500,CVS/PHARMACY # 6167,418 EAST MAIN STREET,ASHLAND,OH,44805,Ashland
020755250,(330) 725-2340,DISCOUNT DRUG MART #44,1631 CLAREMONT AVENUE,ASHLAND,OH,44805,Ashland
020366400,(419) 289-3717,RITE AID DISCOUNT PHARMACY #2397,419 CLAREMONT AVENUE,ASHLAND,OH,44805,Ashland
020430100,4192899636,SAMARITAN PHARMACY,1025 CENTER STREET,ASHLAND,OH,44805,Ashland
020619550,(479) 204-2258,WAL-MART PHARMACY 10-1448,1996 EAST MAIN STREET,ASHLAND,OH,44805,Ashland
