,address_x,agency,arrival_time_primary_unit,beat,closed_time_incident,community_council_neighborhood,create_time_incident,dispatch_time_primary_unit,disposition_text,district,event_number,incident_type_desc,incident_type_id,latitude_x,longitude_x,priority,priority_color
0,16XX CALIFORNIA AV,CPD,,P451,2017-05-16T20:40:39.000,BOND HILL,2017-05-16T20:35:05.000,,BC: BROADCAST,4,CPD170516001810,,DRUG,39.1754784436823,-84.4670395218747,3,
1,16XX ILIFF AV,CPD,2017-10-13T21:58:24.000,P321,2017-10-13T22:16:51.000,WEST PRICE HILL,2017-10-13T21:25:58.000,2017-10-13T21:44:59.000,INV: INV,3,CPD171013002052,DRUG ACTIVITY,DRUG,39.1177910001195,-84.580431,7,YELLOW
2,21XX CLARA ST,CPD,2017-03-22T21:04:18.000,P341,2017-03-23T02:13:01.000,SOUTH FAIRMOUNT,2017-03-22T20:41:51.000,2017-03-22T20:52:13.000,AST: ASSIST,3,CPD170322001510,,HEROINP-COMBINED,39.1227367321796,-84.5518912925694,2,
3,13XX VINE ST,CPD,2017-12-13T02:31:36.000,P121,2017-12-13T02:44:10.000,OTR,2017-12-13T02:29:05.000,2017-12-13T02:30:06.000,INV: INV,1,CPD171213000116,DRUG ACTIVITY,DRUG,39.1095160001195,-84.515049,7,YELLOW
4,2XX W MCMICKEN AV,CPD,,P121,2017-09-05T16:28:05.000,OTR,2017-09-05T16:28:05.000,,ADV:ADVISED,1,CPD170905001184,DRUG COMPLAINT REFERRAL,DRUGR,39.1194960001195,-84.524441,35,PURPLE
5,65XX MONTGOMERY RD,CPD,,P231,2017-12-02T16:11:47.000,KENNEDY HEIGHTS,2017-12-02T16:10:35.000,,CAN:CANCEL,2,CPD171202001028,DRUG COMPLAINT REFERRAL,DRUGR,39.1885520001195,-84.416559,35,PURPLE
6,19XX KENTUCKY AV,CP,2017-01-11T04:47:30.000,P532,2017-01-11T05:57:58.000,NORTHSIDE,2017-01-11T04:39:10.000,2017-01-11T04:40:06.000,ASSIST,5,LCP170111000167,HEROIN OD,HEROIN,39.1685528600896,-84.55119947,2,
7,BEECHMONT AV / CAMPUS LN,CPD,,P241,2017-10-09T17:23:02.000,MOUNT WASHINGTON,2017-10-09T16:36:31.000,2017-10-09T17:13:03.000,GOA: GOA,2,CPD171009001236,DRUG ACTIVITY,DRUG,39.0908110001196,-84.387754,7,YELLOW
8,18XX DALTON AV,CPD,2017-01-25T19:44:28.000,P131,2017-01-25T20:07:31.000,WEST END,2017-01-25T19:39:14.000,2017-01-25T19:42:06.000,ARR: ARREST,1,CPD170125001323,,HEROINP-COMBINED,39.1173517887613,-84.535764456137,2,
9,ANDINA AV / HERMIT AV,CPD,2017-03-28T20:30:21.000,P451,2017-03-28T20:55:49.000,BOND HILL,2017-03-28T20:26:35.000,2017-03-28T20:28:24.000,GOA: GOA,4,CPD170328001548,,DRUG,39.1752210000896,-84.462341,3,
10,17XX CASEY DR,CP,2017-01-13T21:40:35.000,P535,2017-01-13T21:43:18.000,NORTHSIDE,2017-01-13T21:28:08.000,2017-01-13T21:34:16.000,GOA - GONE ON ARRIVAL,5,LCP170113001511,,DRUG,39.1775859300896,-84.54771143,,
11,2XX MCCORMICK PL,CPD,2017-07-08T00:13:01.000,P411,2017-07-08T00:13:05.000,MOUNT AUBURN,2017-07-07T22:58:13.000,2017-07-08T00:13:00.000,INV: INV,4,CPD170707001906,DRUG ACTIVITY,DRUG,39.1243310001195,-84.507376,7,YELLOW
12,55XX MILAN AV,CPD,2017-06-03T12:09:53.000,P231,2017-06-03T12:14:48.000,PLEASANT RIDGE,2017-06-03T11:45:09.000,2017-06-03T12:03:57.000,GOA: GOA,2,CPD170603000681,DRUG ACTIVITY,DRUG,39.1736026098219,-84.4356596743064,7,YELLOW
13,9XX CLINTON SPRINGS AV,CPD,,P441,2017-06-14T13:53:28.000,AVONDALE - NORTH AVONDALE,2017-06-14T12:58:31.000,,GOA: GOA,4,CPD170614000789,DRUG ACTIVITY,DRUG,39.1537964387577,-84.4841074965703,7,YELLOW
14,45XX EASTERN AV,CPD,2017-05-15T19:46:14.000,P241,2017-05-15T20:14:04.000,LINWOOD,2017-05-15T19:40:54.000,2017-05-15T19:42:12.000,INV: INV,2,CPD170515001627,,HEROINP-COMBINED,39.1181040505394,-84.4196606214548,2,
15,CASTLETON PL / NORTHWOOD DR,CPD,2017-02-09T18:43:43.000,P451,2017-02-09T19:34:12.000,ROSELAWN,2017-02-09T18:13:31.000,2017-02-09T18:30:18.000,UTL: UNABLE TO LOCATE,4,CPD170209001230,,DRUG,39.1991370000896,-84.462455,3,
16,46XX KINGS RUN DR,CPD,,P531,2017-01-28T19:17:13.000,SPRING GROVE VILLAGE,2017-01-28T19:15:41.000,,CAN:CANCEL,5,CPD170128001210,,DRUGR,39.1765003818278,-84.5090991640353,6,
17,34XX HAZELWOOD AV,CPD,,P331,2017-07-14T16:40:44.000,WESTWOOD,2017-07-14T16:38:32.000,,ADV:ADVISED,3,CPD170714001305,DRUG COMPLAINT REFERRAL,DRUGR,39.1503330001195,-84.596437,35,PURPLE
18,26XX READING RD,CPD,2017-08-05T17:30:59.000,P431,2017-08-05T18:17:13.000,AVONDALE,2017-08-05T17:28:12.000,2017-08-05T17:29:30.000,ARR: ARREST,4,CPD170805001204,,HEROINP-COMBINED,39.1287990001195,-84.498364,2,
19,35XX KELLOGG AV,CPD,2017-11-08T10:20:04.000,P241,2017-11-08T11:16:38.000,COLUMBIA TUSCULUM - EAST END,2017-11-08T10:20:04.000,2017-11-08T10:20:04.000,ARR: ARREST,2,CPD171108000553,DRUG ACTIVITY,DRUG,39.1141950001195,-84.441059,7,YELLOW
20,23XX BOONE ST,CPD,2017-05-24T22:24:07.000,P421,2017-05-24T23:17:09.000,WALNUT HILLS,2017-05-24T22:17:22.000,2017-05-24T22:18:03.000,R:REPORT ONLY,4,CPD170524001888,,HEROINP-COMBINED,39.1232835840471,-84.4958328485561,2,
21,16XX HOFFNER ST,CPD,,P531,2017-10-30T15:28:15.000,NORTHSIDE,2017-10-30T15:24:00.000,,INV: INV,5,CPD171030001036,DRUG ACTIVITY,DRUG,39.1576890001195,-84.540866,7,YELLOW
22,READING RD / SUNNYBROOK DR,CPD,2017-09-02T14:36:16.000,P451,2017-09-02T15:04:58.000,ROSELAWN,2017-09-02T14:11:20.000,2017-09-02T14:26:36.000,GOA: GOA,4,CPD170902000732,DRUG ACTIVITY,DRUG,39.2074340001193,-84.452517,7,YELLOW
23,10XX SYCAMORE ST,CPD,,P011,2017-09-02T22:03:43.000,DOWNTOWN,2017-09-02T22:01:44.000,,HBO: HANDLED BY OTHER AGENCY,1,CPD170902001548,,HEROINP-COMBINED,39.1063490001196,-84.508833,2,
24,4XX E MARTIN LUTHER KING JR DR,CPD,2017-06-02T16:09:52.000,P431,2017-06-02T16:19:47.000,AVONDALE,2017-06-02T16:07:38.000,2017-06-02T16:09:08.000,GOA: GOA,4,CPD170602001271,,HEROINP-COMBINED,39.1357539996532,-84.5005914965356,2,
25,26XX STANTON AV,CPD,2017-05-03T19:18:13.000,P421,2017-05-03T19:19:23.000,WALNUT HILLS,2017-05-03T18:37:50.000,2017-05-03T19:11:27.000,GOA: GOA,4,CPD170503001421,,DRUG,39.1288051882274,-84.4915234469814,3,
26,3XX NORTHERN AV,CPD,2017-12-05T15:50:57.000,P431,2017-12-05T15:52:30.000,AVONDALE,2017-12-05T15:42:39.000,2017-12-05T15:44:07.000,GOA: GOA,4,CPD171205001107,DRUG ACTIVITY,DRUG,39.1445030001195,-84.501993,7,YELLOW
27,43XX HAYS AV,CPD,,P531,2017-11-03T15:37:57.000,NORTHSIDE,2017-11-03T15:37:57.000,,CAN:CANCEL,5,CPD171103001192,DRUG COMPLAINT REFERRAL,DRUGR,39.1646770001195,-84.554238,35,PURPLE
28,PRESLEY AL / BURBANK ST,CPD,2017-11-09T12:24:03.000,P421,2017-11-09T12:47:07.000,WALNUT HILLS,2017-11-09T12:19:39.000,2017-11-09T12:24:00.000,HBF: HANDLED BY FIRE,4,CPD171109000705,,HEROINP-COMBINED,39.1231380001196,-84.496515,2,
29,2XX KINSEY AV,CPD,,P411,2017-02-13T09:31:37.000,MOUNT AUBURN,2017-02-13T09:30:37.000,,CAN:CANCEL,4,CPD170213000408,,DRUGR,39.1252930388599,-84.5029454318304,6,
