TYPE,"LICENSE
#",NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,OWNER,"ADM
FIRST","ADM
LAST",TELEPHONE,"LICENSURE
EXPIRATION"
Alcohol and Other Drug Entity Facility,810392,A NEW DAY COUNSELING SERVICE,1202 MAIN STREET,BENTON,KY,42025,MARSHALL,"A NEW DAY COUNSELING SERVICE, LLC",THYRA,FUTRELL,(270) 994-8997,5/31/20
Alcohol and Other Drug Entity Facility,810402,A1 COUNSELING SERVICES,1017 WEST MARKET STREET,LOUISVILLE,KY,40202,JEFFERSON,"THE HEALING PLACE, INC.",CORY,MONEYMAKER,(502) 585-4848,Pending Renewal
Alcohol and Other Drug Entity Facility,810486,A1 REVELATION COUNSELING CENTER,1040 SOUTH PRESTON STREET,LOUISVILLE,KY,40203,JEFFERSON,A1 REVELATION COUNSELING CENTER,LA'SHONDA,FLETCHER,(502) 230-6463,Pending Renewal
Alcohol and Other Drug Entity Facility,810600,AA & ASSOCIATES OF KENTUCKY,"3038 BRECKINRIDGE LANE, SUITE 204",LOUISVILLE,KY,40220,JEFFERSON,"AA & ASSOCIATES OF KENTUCKY, LLC",ANNA,BENECKE,(502) 896-6900,11/30/20
Alcohol and Other Drug Entity Facility,810306,"ABOVE AND BEYOND COUNSELING, A PROGRAM OF DAVE HAR","5330 SOUTH 3RD STREET, SUITE 234",LOUISVILLE,KY,40214,JEFFERSON,"DAVE HARMON & ASSOCIATES, INC",DAVE,HARMON,(502) 361-1200,11/30/20
Alcohol and Other Drug Entity Facility,810262,ADAPT COUNSELING SERVICES,"125 FIRST STREET, SUITE 101",HENDERSON,KY,42420,HENDERSON,RONALD AND KAREN WILSON,RONALD,WILSON,(270) 454-4558,3/31/20
Alcohol and Other Drug Entity Facility,810554,ADDICTION SERVICES COUNCIL,20 WEST 18TH STREET,COVINGTON,KY,41011,KENTON,ADDICTION SERVICES COUNCIL CORP.,NANCY,FRANKS,(513) 281-7880,2/29/20
Alcohol and Other Drug Entity Facility,810279,ADVANCED BEHAVIORAL CONSULTANTS,"156 SOUTH SUMMER STREET, 2ND FLOOR",RUSSELLVILLE,KY,42276,LOGAN,ADVANCED BEHAVIORAL CONSULTANTS,GRANT,GOODMAN,(270) 726-2211,10/31/20
Alcohol and Other Drug Entity Facility,810299,ALCOHOL SERVICES OF KENTUCKY,"7505 SUSSEX DRIVE, SUITE 214",FLORENCE,KY,41042,BOONE,"GOOD AND ASSOCIATES, LLC",ROBERT,GOOD,(859) 967-4357,Pending Renewal
Alcohol and Other Drug Entity Facility,810013,ALLIANCE COUNSELING ASSOCIATES,104 REYNOLDS ROAD,GLASGOW,KY,42141,BARREN,"ALLIANCE COUNSELING ASSOCIATES, LLC",PEGGY,NUNN,(270) 678-4801,11/30/19
Alcohol and Other Drug Entity Facility,810344,ALTERNATIVES COUNSELING,104 WEST MAPLE,NICHOLASVILLE,KY,40356,JESSAMINE,ALTERNATIVES COUNSELING,ROCKY,LYKINS,(859) 881-1908,10/31/20
Alcohol and Other Drug Entity Facility,810621,ANCHORED HOPE COUNSELING,6883 MILLARD HWY SUITE #2,PIKEVILLE,KY,41501,PIKE,ANCHORED HOPE COUNSELING,STEPHANIE,STILTNER,(606) 200-3450,Pending Renewal
Alcohol and Other Drug Entity Facility,810018,ANEW ALTERNATIVE AT RIVER VIEW COUNSELING,214 WEST MAIN STREET,FRANKFORT,KY,40601,FRANKLIN,"PHEONIX COUNSELING SERVICES, INC.",NICHOLAS,DAVIS,(502) 223-7739,1/31/20
Alcohol and Other Drug Entity Facility,810472,"APPALACHIAN COMMUNITY CARE, LLC",255 CHURCH STREET,PIKEVILLE,KY,41501,PIKE,"APPALACHIAN COMMUNITY CARE, LLC",LOVONNE,FLEMING-RICHARDSON,(606) 432-5660,7/31/20
Alcohol and Other Drug Entity Facility,810555,ASAP BEHAVIORAL HEALTH,"400 VENTERS LANE, SUITE A",PIKEVILLE,KY,41501,PIKE,"ASAP OUTPATIENT & RESIDENTIAL SERVICES, LLC",ALEXANDRIA,ALLEN,(606) 437-0097,2/29/20
Alcohol and Other Drug Entity Facility,810594,"ASTRA BEHAVIORAL HEALTH, LLC","151 DREXLER CIRCLE, SUITE 1",ELIZABETHTOWN,KY,42701,HARDIN,"ASTRA BEHAVIORAL HEALTH, L.L.C.",MUHAMMAD,SAJID,(270) 506-2730,1/31/20
Alcohol and Other Drug Entity Facility,810300,AWARENESS & DISCOVERY,2 DORTHA AVENUE,FLORENCE,KY,41042,BOONE,"AWARENESS & DISCOVERY GROUP, LLC",RICK,HAMM,(859) 525-1487,7/31/20
Alcohol and Other Drug Entity Facility,810175,BALANCED LIFE SOLUTIONS,"501 DARBY CREEK ROAD, SUITE 11",LEXINGTON,KY,40509,FAYETTE,"SUBSTANCE ABUSE PROFESSIONALS OF KENTUCKY, PLLC",AMANDA,BRASHEAR,(859) 338-0466,Pending Renewal
Alcohol and Other Drug Entity Facility,810693,BEALL RECOVERY CLINICS,112 WEST HIGH STREET,LEXINGTON,KY,40507,FAYETTE,"BEALL RECOVERY CLINICS, PLLC",TIFFANY,OSBORNE,(859) 749-7020,6/30/20
Alcohol and Other Drug Entity Facility,810165,"BEHAVIORAL MANAGEMENT, LLC",2607 JACKSON STREET,PADUCAH,KY,42003,MCCRACKEN,"BEHAVIORAL MANAGEMENT, LLC",NOI,RODRIGUEZ,(270) 442-2223,12/31/19
Alcohol and Other Drug Entity Facility,810127,BEHAVIORAL RESOURCES,16 COURT STREET,MADISONVILLE,KY,42431,HOPKINS,"BEHAVIORAL RESOURCES, INC.",MARY,BARRON,(270) 824-9355,3/31/20
Alcohol and Other Drug Entity Facility,810085,BETTER ALTERNATIVES COUNSELING,"1169 EASTERN PARKWAY, SUITE 1138",LOUISVILLE,KY,40217,JEFFERSON,A GRAETER ALTERNATIVE INC,LESLIE,GRAETER,(502) 454-6350,Pending Renewal
Alcohol and Other Drug Entity Facility,810129,BHG LEXINGTON TREATMENT CENTER,"455 PARK PLACE, SUITE 130",LEXINGTON,KY,40511,FAYETTE,"BHG XXXV, LLC",MARLIN,MARTIN,(859) 276-0533,3/31/20
Alcohol and Other Drug Entity Facility,810596,BHG OFFICE BASED TREATMENT,628 JEFFERSON AVENUE,PAINTSVILLE,KY,41240,JOHNSON,"BHG XLIX, LLC",MARLIN,MARTIN,(606) 789-6966,10/31/20
Alcohol and Other Drug Entity Facility,810228,BHG-HAZARD,48 INDEPENDENCE DRIVE,HAZARD,KY,41701,PERRY,"BHG XXVI, LLC",ERNIE,WILLIAMS,(606) 487-1646,1/31/20
Alcohol and Other Drug Entity Facility,810161,BHG-PAINTSVILLE,628 JEFFERSON AVENUE,PAINTSVILLE,KY,41240,JOHNSON,"BHG XXIV, LLC",MARLIN,MARTIN,(606) 789-6966,9/30/20
Alcohol and Other Drug Entity Facility,810179,BHG-PIKEVILLE,368 SOUTH MAYO TRAIL,PIKEVILLE,KY,41501,PIKE,"BHG XXV, LLC",MARLIN,MARTIN,(606) 437-0047,11/30/20
Alcohol and Other Drug Entity Facility,810285,"BINGHAM BEHAVIORAL HEALTH CARE, PLLC","417 KNOX STREET, SUITE 3",BARBOURVILLE,KY,40906,KNOX,"BINGHAM BEHAVIORAL HEALTH CARE, PLLC",VIVIAN,BINGHAM,(606) 545-9752,1/31/20
Alcohol and Other Drug Entity Facility,810253,BLUEGRASS ALCOHOL COUNSELING OF RICHMOND,236 EAST MAIN STREET,RICHMOND,KY,40475,MADISON,BLUEGRASS ALCOHOL COUNSELING OF RICHMOND,ROB,GOOD,(859) 967-4357,10/31/20
Alcohol and Other Drug Entity Facility,810270,"BLUEGRASS COUNSELING SERVICES, INC","1029 MONARCH STREET, SUITE 140",LEXINGTON,KY,40513,FAYETTE,"BLUEGRASS COUNSELING SERVICES, INC.",STEPHANIE,HUMKEY,(859) 368-7660,2/29/20
Alcohol and Other Drug Entity Facility,810094,"BLUEGRASS DRIVER SCHOOL, INC","600 MAIN STREET, SUITE 2",SHELBYVILLE,KY,40065,SHELBY,"BLUEGRASS DRIVER SCHOOL, INC.",HUBERT,POLLETT,(502) 633-4513,3/31/20
Alcohol and Other Drug Entity Facility,810616,BLUEGRASS PROFESSIONAL COUNSELING,103 EAST SOUTH STREET,MUNFORDVILLE,KY,42765,HART,BLUEGRASS PROFESSIONAL COUNSELING,LORI,AVERY,(270) 651-3181,4/30/20
Alcohol and Other Drug Entity Facility,810197,"BOULWARE MISSION, INC",609 WING AVENUE,OWENSBORO,KY,42303,DAVIESS,"BOULWARE MISSION, INC.",HAROLD,RICHARDSON,(270) 926-0771,5/31/20
Alcohol and Other Drug Entity Facility,810612,"BOUNCING BACK COUNSELING, INC","86 HIGHWAY 638, SUITE 1",MANCHESTER,KY,40962,CLAY,CHERYLS COUNSELING SERVICES,CHERYL,GIBSON,(606) 598-0070,3/31/20
