LICENSE #,NAME,ADDRESS,CITY,ZIP,COUNTY,OPERATOR NAME,,OWNER,PHONE,DEEMED,LIC TYPE,Acute,"Acute
Rehabilitation","Critical
Access*","Chemical
Dependency",FSED,"Psychiatric
General","Psychiatric
Geriatric (65 +)","Psychiatric
Adult (18-64)","Psychiatric
Adolescent (13-17)","Psychiatric
Child (12 & under)",Tuberculosis,Rehabilitation,Licensed,Swing,"LICENSE
EXPIRATION",
600056,ARH Our Lady of the Way,11203 Main Street,Martin,41649,Floyd,Kathy,Stumbo,"ARH Mary Breckinridge Health Services, Inc. ",606-285-6401,Y,CAH,,,25,,,,,,,,,,25,Y,5/31/20,
100417,Baptist Health Corbin,1 Trillium Way,Corbin,40701,Whitley,Anthony,Powers,Baptist Healthcare System Inc,606-528-1212,Y,ACUTE,194,,,15,,,,36,8,,,20,273,Y,6/30/20,
100575,Baptist Health La Grange,1025 New Moody Lane,Lagrange,40031,Oldham,Clint,Kaho,"Baptist Healthcare Systems, Inc.",502-222-5388,Y,ACUTE,90,,,,,,,,,,,,90,Y,12/31/19,
100101,Baptist Health Lexington,1740 Nicholasville Road,Lexington,40503,Fayette,William G.,Sisson,Baptist Healthcare System Inc,859-260-6104,Y,ACUTE,391,,,,,,,,,,,,391,N,7/31/20,
100451,Baptist Health Louisville,4000 Kresge Way,Louisville,40207,Jefferson,David,Gray,"Baptist Healthcare Systems, Inc.",502-897-8100,Y,ACUTE,468,,,,,22,,,,,,29,519,N,3/31/20,
100184,Baptist Health Madisonville,900 Hospital Drive,Madisonville,42431,Hopkins,Michael,Baumgartner,"Baptist Health Madisonville, Inc.",270-825-5100,Y,ACUTE,348,,,,,22,,,,,,20,390,N,7/31/20,
100313,Baptist Health Paducah,2501 Kentucky Avenue,Paducah,42003,Mccracken,Chris  ,Roty,Baptist Healthcare Systems Inc,270-575-2100,Y,ACUTE,349,,,,,,,,,,,,349,N,12/31/19,
100322,Baptist Health Richmond,801 Eastern Bypass,Richmond,40475,Madison,C. Todd,Jones,"Baptist Health Richmond, Inc.",859-623-3131,Y,ACUTE,105,,,,,,,,,,,,105,Y,11/30/19,
600080,Barbourville ARH Hospital,80 Hospital Drive,Barbourville,40906,Knox,Charles,Lovell,"ARH Mary Breckinridge Health Services, Inc.",606-546-4175,Y,CAH,,,25,,,,,,,,,,25,Y,7/31/20,
600059,Bluegrass Community Hospital,360 Amsden Ave.,Versailles,40383,Woodford,Tommy,Haggard,Woodford  Hospital Llc,859-879-2300,N,CAH,,,25,,,,,,,,,,25,Y,12/31/19,
100023,Bourbon Community Hospital,9 Linville Drive,Paris,40361,Bourbon,Matt,Smith,"Bourbon Community, Llc",859-987-3600,Y,ACUTE,25,,,,,25,,8,,,,,58,Y,5/31/20,
600070,Breckinridge Memorial Hospital,1011 Old Hwy 60,Hardinsburg,40143,Breckinridge,Angela,Portman,"Breckinridge Health, Inc",270-756-7000,Y,CAH,,,25,,,,,,,,,,25,Y,6/30/20,
600072,Caldwell Medical Center,100 Medical Center Drive,Princeton,42445,Caldwell,William,Hartley,"Caldwell County Hospital, Inc.",270-365-0300,Y,CAH,,,25,,,,,,,,,,25,Y,1/31/20,
100100,Cardinal Hill Rehabilitation Hospital,2050 Versailles Road,Lexington,40504,Fayette,Tara,Diebling,"Healthsouth Cardinal Hill Rehabilitation Hospital, Inc.",859-254-5701,N,REHAB,,,,,,,,,,,,158,158,N,11/30/20,
600061,Carroll County Memorial Hospital,309 Eleventh Street,Carrollton,41008,Carroll,Kim,Dees,CCMH Corporation,502-732-4321,N,CAH,,,25,,,,,,,,,,25,Y,7/31/20,
600060,Casey County Hospital,187 Wolford Avenue,Liberty,42539,Casey,Rex,Tungate,Casey Co. Hsp. District,606-787-6275,Y,CAH,,,24,,,,,,,,,,24,Y,11/30/20,
100198,Central State Hospital,10510 Lagrange Road,Louisville,40223,Jefferson,Matt ,Mooring,Commonwealth of KY,502-253-7045,Y,PSY,,,,,,192,,,,,,,192,N,9/30/20,
100073,Clark Regional Medical Center,175 Hospital Drive,Winchester,40391,Clark,Aphreikah,DuHaney-West,"Kentucky Hospital, LLC",859-737-8559,Y,ACUTE,54,,,,,,,,,,,,54,Y,2/28/20,
100080,Crittenden Community Hospital,520 West Gum Street,Marion,42064,Crittenden,Don,Buchanan,Crittenden Community Hospital LLC,270-965-5281,Y,ACUTE,48,,,,,,,,,,,,48,Y,12/31/19,
600068,Cumberland County Hospital,299 Glasgow Road,Burkesville,42717,Cumberland,Terry,Nichols  ,"Cumberland County Hospital Association, Inc.",270-864-2511,N,CAH,,,25,,,,,,,,,,25,Y,9/30/20,
100597,Cumberland Hall,270 Walton Way,Hopkinsville,42240,Christian,Matt,Ours,"ABS Lincs KY, Inc.",270-886-1919,Y,PSY,,,,,,97,,,,,,,97,N,4/30/20,
100102,Eastern State Hospital,1350 Bull Lea Road,Lexington,40511,Fayette,Carrie,Rudzik,Commonwealth Of Kentucky,859-246-8000,Y,PSY,,,,,,195,,,,,,,195,N,8/31/20,
100601,Encompass Health Rehabilitation Hospital of Lakeview,134 Heartland Drive,Elizabethtown,42701,Hardin,Lori,Jarboe,"Encompass Health Rehabilitation Hospital of Lakeview, LLC",270-769-3100,Y,REHAB,,,,,,,,,,,,40,40,N,5/31/20,
