Facility ID,Facility Name,Address Line 1,City,Zip Code,County,Telephone,Adm First,Adm Last,OWNER,"Certified
Beds",SNF,NF,NH,ICF,ALZ,PC,ICF/IID,Licensure Effective,Licensure Expiration,Region,,,,
100295,AUBURN HEALTH CARE,139 PEARL ST.,AUBURN,42206,LOGAN,(270) 542-4111,DESIRAE,COCANOUGHER,"BOLSTER HEALTH CARE GROUP, LLC",66,,66,,,,,,3/1/19,2/28/20,WB,WB,,,
100763,BAPTIST HEALTH LA GRANGE,1025 NEW MOODY LANE,LA GRANGE,40031,OLDHAM,(502) 222-5388,STEFANIE,ZOELLER,"BAPTIST HEALTHCARE SYSTEM, INC",30,,30,,,,,,1/1/19,12/31/19,NB,NB,,,
100728,BAPTIST HEALTH MADISONVILLE,900 HOSPITAL DRIVE,MADISONVILLE,42431,HOPKINS,(270)825-5201,ROBERT,RAMEY,"BAPTIST HEALTH MADISONVILLE, INC.",0,,20,,,,,,8/1/19,7/31/20,WB,WB,,,
100766,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,42003,MCCRACKEN,(270) 575-2100,CHRIS,ROTY,"BAPTIST HEALTHCARE SYSTEMS, INC.",0,,24,,,,,,1/1/19,12/31/19,WB,WB,,,
100275,BARBOURVILLE HEALTH AND REHABILITATION CENTER,65 MINTON HICKORY FARM ROAD,BARBOURVILLE,40906,KNOX,(606) 546-5136,BOBBIE,MILLS,"BARBOURVILLE NH, INC.",135,,135,,,,,,7/1/19,6/30/20,SB,SB,,,
100509,BARREN COUNTY NURSING AND REHABILITATION ,300 WESTWOOD STREET,GLASGOW,42141,BARREN,(270) 651-9131,JASON,GUMM,"WESTWOOD NURSING AND REHABILITATION, LLC",94,,94,,,,,,1/1/19,12/31/19,WB,WB,,,
100353,"BEAVER DAM NURSING AND REHAB CENTER, INC",1595 US HWY 231 S.,BEAVER DAM,42320,OHIO,(270) 274-9646,LAURA,COLE,"BEAVER DAM NURSING AND REHAB CENTER, INC",58,,58,,,,23,,6/1/19,5/31/20,WB,WB,,,
100637,BEDROCK HC AT GREEN MEADOWS LLC,310 BOXWOOD RUN ROAD,MOUNT WASHINGTON,40047,BULLITT,(502) 955-7600,SHERRIE,WATHEN,BEDROCK HC AT GREEN MEADOWS LLC,122,,122,,,,,,5/1/19,4/30/20,NB,NB,,,
100319,BEREA HEALTH AND REHABILITATION ,601 RICHMOND ROAD,BEREA,40403,MADISON,(859) 986-4710,PAMELA,BROOKS,"BEREA HEALTH CARE, LLC",84,,84,,,,,,1/1/19,12/31/19,SB,SB,,,
100198,BINGHAM GARDENS,4401 LOUISE UNDERWOOD WAY,LOUISVILLE,40216,JEFFERSON,(502) 449-8668,MICHELE,PHELPS,COMMONWEALTH OF KENTUCKY,24,,,,,,,24,9/1/19,8/31/20,NB,NB,,,
100492,BLUEGRASS CARE AND REHABILITATION CENTER,3576 PIMLICO PARKWAY,LEXINGTON,40517,FAYETTE,(859) 272-0608,SHANNON,SPICER,"LP LEXINGTON PIMLICO, LLC",124,,124,,,,,,11/1/19,10/31/20,EB,EB,,,
101289,"BOONESPRING TRANSITIONAL CARE CENTER, LLC",10250 US HIGHWAY 42,UNION,41091,BOONE,(859) 384-1200,JO,LEWTON,"BOONESPRING TRANSITIONAL CARE CENTER, LLC",143,,143,,,,,,2/7/19,1/31/20,EB,EB,,,
100024,BOURBON HEIGHTS NURSING HOME,2000 SOUTH MAIN STREET,PARIS,40361,BOURBON,(859) 987-5750,CHARLOTTE,RAY,"BOURBON HEIGHTS, INC",99,,67,32,,,10,,10/1/19,9/30/20,EB,EB,,,
100409,BOWLING GREEN NURSING AND REHABILITATION CENTER,1561 NEWTON AVE.,BOWLING GREEN ,42104,WARREN,(270) 842-1611,TRACIE,BRANHAM,"BOWLING GREEN HEALTH CENTER, LLC",66,,66,,,,,,1/1/19,12/31/19,WB,WB,,,
100689,BOYD NURSING AND REHABILITATION,12100 PRINCELAND DRIVE,ASHLAND,41102,BOYD,(606) 928-2963,CINDY,SALYERS,"BOYD NURSING AND REHABILITATION, LLC",60,,60,,,,,,10/1/19,9/30/20,EB,EB,,,
100039,BRACKEN COUNTY NURSING AND REHABILITATION CENTER,5269 ASBURY ROAD,AUGUSTA,41002,BRACKEN,(606) 756-2156,AMY,MCKIBBEN,"LP AUGUSTA, LLC",32,,32,,,,,,5/1/19,4/30/20,EB,EB,,,
100070,BRADFORD HEIGHTS HEALTH AND REHAB CENTER,950 HIGHPOINT DRIVE,HOPKINSVILLE,42240,CHRISTIAN,(270) 885-1151,LORI DENISE,HENRICY,"BRADFORD HEIGHTS OPCO, LLC",100,,100,,,,,,2/1/19,1/31/20,WB,WB,,,
100542,BRADFORD SQUARE GENESIS HEALTHCARE,1040 US 127 SOUTH,FRANKFORT,40601,FRANKLIN,(502) 875-5600,JANIE,CUNNINGHAM,GENESIS HEALTHCARE,100,,100,,,,,,10/1/19,9/30/20,EB,EB,,,
100334,BRANDENBURG NURSING AND REHABILITATION CENTER,814 OLD EKRON RD,BRANDENBURG,40108,MEADE,(270) 422-2148,ANGELA,DECKER,"BRANDENBURG OPCO, LLC",57,,57,,,,,,8/1/19,7/31/20,NB,NB,,,
100738,BRECKINRIDGE MEMORIAL NURSING FACILITY,1011 OLD HIGHWAY 60,HARDINSBURG,40143,BRECKINRIDGE,(270) 756-7000,ANGELA,PORTMAN,"BRECKINRIDGE MEMORIAL HOSPITAL, INC.",18,,18,,,,,,7/1/19,6/30/20,NB,NB,,,
101101,BRECKINRIDGE PLACE,170 SYKES BOULEVARD,MORGANFIELD,42437,UNION,(270) 389-1133,KATHY,POGUE,"BRECKINRIDGE SERVICES, INC.",22,,16,8,,,,,6/1/19,5/31/20,WB,WB,,,
100022,BRIDGE POINT CENTER,7300 WOODSPOINT DRIVE,FLORENCE,41042,BOONE,(859) 371-5731,AMBER,REILLY,"WOODSPOINT, LLC",151,,151,,,,,,3/1/19,2/28/20,EB,EB,,,
100183,"BRIGHTON CORNERSTONE GROUP, LLC",55 EAST NORTH STREET,MADISONVILLE,42431,HOPKINS,(270) 821-1492,CYNTHIA,COX,"BRIGHTON CORNERSTONE GROUP, LLC",66,,66,,,,,,8/1/19,7/31/20,WB,WB,,,
100572,BROOKDALE RICHMOND PLACE SNF,2770 PALUMBO DRIVE,LEXINGTON,40509,FAYETTE,(859) 263-2410,BECKY,STOCKER,"BLC LEXINGTON SNF, LLC",120,,120,,,,,,3/1/19,2/29/20,EB,EB,,,
100006,CAL TURNER REHAB AND SPECIALTY CARE,456 BURNLEY RD.,SCOTTSVILLE,42164,ALLEN,(270) 622-2800,JACQUELINE,WOODWARD,BOWLING GREEN WARREN CO. COMM. HOSP. CORP.,110,,110,,,,,,3/1/19,2/29/20,WB,WB,,,
100329,CALVERT CITY CONVALESCENT CENTER,1201 FIFTH AVE,CALVERT CITY,42029,MARSHALL,(270) 395-4124,JENNIFER,LINDSEY,"CALVERT CITY CONVALESCENT CENTER, INC.",95,,95,,,,,,11/1/19,10/31/20,WB,WB,,,
100461,CAMBRIDGE PLACE,2020 CAMBRIDGE DRIVE,LEXINGTON,40504,FAYETTE,(859) 252-6747,CARA,CLARK,"CAMBRIDGE PLACE GROUP, LLC",118,,108,,,,,,12/1/18,11/30/19,EB,EB,,,
100392,CAMPBELLSVILLE NURSING AND REHABILITATION CENTER,1980 OLD GREENSBURG ROAD,CAMPBELLSVILLE,42718,TAYLOR,(270) 465-3506,TONYA,HAINES,"CAMPBELLSVILLE OPERATING COMPANY, LLC",67,,67,,,,,,4/1/19,3/31/20,SB,SB,,,
101154,CARDINAL HILL SKILLED REHABILITATION UNIT,2050 VERSAILLES ROAD,LEXINGTON,40504,FAYETTE,(859) 254-5701,CHASITY,PARIS,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CARDINAL HILL, LLC",74,,74,,,,,,12/1/18,11/30/19,EB,EB,,,
100082,CARMEL HOME,2501 OLD HARTFORD RD.,OWENSBORO,42303,DAVIESS,(270) 683-0227,FRANCIS,SCULLY,CARMELITE SRS. OF THE DIVINE HEART OF JESUS OF KY,18,,36,,,,79,,9/1/19,8/31/20,WB,WB,,,
100056,CARMEL MANOR,100 CARMEL MANOR ROAD,FORT THOMAS,41075,CAMPBELL,(859) 781-5111,LEDA,DOMINO,CARMEL MANOR,95,,95,,,,80,,1/1/19,12/31/19,EB,EB,,,
100571,CARTER NURSING AND REHABILITATION,250 MCDAVID BLVD,GRAYSON,41143,CARTER,(606) 474-7835,JOE,BRAINARD,"CARTER NURSING AND REHABILITATION, LLC",120,,120,,,,,,3/1/19,2/29/20,EB,EB,,,
100450,CEDAR LAKE LODGE,3301 JERICHO ROAD,LA GRANGE,40031,OLDHAM,(502) 222-7157,NATHANIAL,MEADE,"CEDAR LAKE LODGE, INC.",63,,,,,,,63,12/1/18,11/30/19,NB,NB,,,
