,TYPE,NAME,ADDRESS,CITY,ZIP,COUNTY,Layer,Lat,Long,geometry
0,MedicalFacility,ST ELIZABETH PHYSICIANS,"119 FAIRFIELD AVENUE, SUITE R102",BELLEVUE,41073,CAMPBELL,PhysicianOffices,39.103593,-84.4873078,POINT (-84.4873078 39.103593)
1,PainManagement,GREATER CINCINNATI PAIN MANAGEMENT CENTERS,"103 LANDMARK DRIVE, SUITE 110",BELLEVUE,41073,CAMPBELL,PhysicianOffices,39.0996440314014,-84.4859827185054,POINT (-84.4859827185054 39.0996440314014)
2,MedicalFacility,JIBRINI MD ASSOCIATES PLLC,103 LANDMARK DRIVE STE 200,BELLEVUE,41073,CAMPBELL,PhysicianOffices,39.0996440314014,-84.4859827185054,POINT (-84.4859827185054 39.0996440314014)
3,MedicalFacility,"TAKE CARE HEALTH KENTUCKY, PSC",606 BUTTERMILK PIKE,CRESCENT SPRINGS,41017,KENTON,PhysicianOffices,39.052425158496,-84.5777814377942,POINT (-84.5777814377942 39.052425158496)
4,SubstanceHelp,ST ELIZABETH PHYSICIAN'S JOURNEY RECOVERY CENTER,351 CENTRE VIEW BLVD,CRESTVIEW HILLS,41017,KENTON,AODE_BHSO,39.0231860953777,-84.5638811558601,POINT (-84.5638811558601 39.0231860953777)
5,SubstanceHelp,APPLEGATE RECOVERY - CRESTVIEW HILLS,565 CENTRE VIEW BLVD,CRESTVIEW HILLS,41017,KENTON,AODE_BHSO,39.0231303,-84.5640422,POINT (-84.5640422 39.0231303)
6,Mental,APPLEGATE RECOVERY- CRESTVIEW HILLS,565 CENTRE VIEW BLVD,CRESTVIEW HILLS,41017,KENTON,AODE_BHSO,39.0231303,-84.5640422,POINT (-84.5640422 39.0231303)
7,Mental,ST ELIZABETH PHYSICIAN'S JOURNEY RECOVERY CENTER,351 CENTRE VIEW BLVD,CRESTVIEW HILLS,41017,KENTON,AODE_BHSO,39.0231860953777,-84.5638811558601,POINT (-84.5638811558601 39.0231860953777)
8,Surgery,ST ELIZABETH PHYSICIANS ENDOSCOPY CENTER,"340 THOMAS MORE PARKWAY, SUITE 160 B",CRESTVIEW HILLS,41017,KENTON,Miscellaneous,39.0239077556644,-84.5684551703933,POINT (-84.56845517039331 39.0239077556644)
9,Surgery,TRI STATE DIGESTIVE DISORDER CENTER,425 CENTRE VIEW BOULEVARD,CRESTVIEW HILLS,41017,KENTON,Miscellaneous,39.0231303,-84.5640422,POINT (-84.5640422 39.0231303)
10,Surgery,SURGERY CENTER CRESTVIEW,2845 CHANCELLOR DRIVE,CRESTVIEW HILLS,41017,KENTON,Miscellaneous,39.0231402372881,-84.5615748305085,POINT (-84.5615748305085 39.0231402372881)
11,ChildFacility,CRESTVIEW HILLS PEDIATRICS,334 THOMAS MORE PKWY SUITE 100,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0239463788242,-84.5683718787095,POINT (-84.5683718787095 39.0239463788242)
12,MedicalFacility,ST ELIZABETH PHYSICIANS INFECTIOUS DISEASE,2765 CHAPEL PLACE STE 250,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.024193,-84.562961,POINT (-84.562961 39.024193)
13,Mental,ST ELIZABETH PHYSICIANS BEHAVIORAL HEALTH EDGEWOOD,334 THOMAS MORE PARKWAY STE 120,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0239463788242,-84.5683718787095,POINT (-84.5683718787095 39.0239463788242)
14,MedicalFacility,ST ELIZABETH PHYSICIANS,334 THOMAS MORE PKWY SUITE 200,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0239463788242,-84.5683718787095,POINT (-84.5683718787095 39.0239463788242)
15,MedicalFacility,ST ELIZABETH PHYSICIANS ENDOSCOPY CENTER,"34O THOMAS MORE PARKWAY, SUITE 160B",CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0239077556644,-84.5684551703933,POINT (-84.56845517039331 39.0239077556644)
16,MedicalFacility,ST ELIZABETH PHYSICIANS HEART & VASCULAR GROUP,350 THOMAS MORE PARKWAY SUITE 280,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0238397657585,-84.5685920925178,POINT (-84.5685920925178 39.0238397657585)
17,MedicalFacility,ST ELIZABETH PHYSICIANS PHYSICIANS JOURNEY,351 CENTRE VIEW BLVD,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0231860953777,-84.5638811558601,POINT (-84.5638811558601 39.0231860953777)
18,MedicalFacility,ST ELIZABETH PHYSICIANS HEARTH & VASCULAR,380 CENTRE VIEW BOULEVARD,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0232180821024,-84.5636090826761,POINT (-84.56360908267609 39.0232180821024)
19,MedicalFacility,ST ELIZABETH PHYSICIANS,651 CENTRE VIEW,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0231303,-84.5640422,POINT (-84.5640422 39.0231303)
20,PainManagement,"COMMONWEALTH PAIN ASSOCIATES, PLLC",320 THOMAS MORE PARKWAY SUITE 202,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0240225366829,-84.568171924383,POINT (-84.56817192438299 39.0240225366829)
21,PainManagement,INTERVENTIONAL PAIN SPECIALISTS,"340 THOMAS MORE PARKWAY, SUITE 260",CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0239077556644,-84.5684551703933,POINT (-84.56845517039331 39.0239077556644)
22,MedicalFacility,"STEPHANIE A SNYDER, MD",215A THOMAS MORE PKWY,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0227496267821,-84.5703476058241,POINT (-84.5703476058241 39.0227496267821)
23,MedicalFacility,UC HEALTH DERMATOLOGY,2701 CHANCELLOR DRIVE,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0223806062931,-84.5616952563643,POINT (-84.5616952563643 39.0223806062931)
24,MedicalFacility,ORTHOCINCY,2845 CHANCELLOR DRIVE,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0231402372881,-84.5615748305085,POINT (-84.5615748305085 39.0231402372881)
25,MedicalFacility,FOOT SPECIALISTS OF GREATER CINCINNATI,2865 CHANCELLOR DRIVE STE 205,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.023206,-84.561565,POINT (-84.561565 39.023206)
26,MedicalFacility,"RIVERHILLS HEALTHCARE, INC",320 THOMAS MORE PARKWAY,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0240225366829,-84.568171924383,POINT (-84.56817192438299 39.0240225366829)
27,MedicalFacility,TRI-STATE CENTERS FOR SIGHT,500 THOMAS MOORE PARKWAY STE 1,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.021034,-84.562498,POINT (-84.56249800000001 39.021034)
28,MedicalFacility,HEALTH CONNECTIONS DIRECT PRIMARY CARE PLLC,527 CENTRE VIEW BOULEVARD,CRESTVIEW HILLS,41017,KENTON,PhysicianOffices,39.0231303,-84.5640422,POINT (-84.5640422 39.0231303)
29,SubstanceHelp,ADDICTION SERVICES COUNCIL,20 WEST 18TH STREET,COVINGTON,41011,KENTON,AODE_BHSO,39.0693742054795,-84.5067345342466,POINT (-84.5067345342466 39.0693742054795)
30,SubstanceHelp,COVINGTON TREATMENT CENTER,1450 MADISON AVENUE,COVINGTON,41011,KENTON,AODE_BHSO,39.074422244898,-84.5076528979592,POINT (-84.5076528979592 39.074422244898)
31,SubstanceHelp,MENTAL HEALTH AMERICA OF NORTHERN KENTUCKY,912 SCOTT BOULEVARD,COVINGTON,41011,KENTON,AODE_BHSO,39.081412122449,-84.5077990612245,POINT (-84.5077990612245 39.081412122449)
32,SubstanceHelp,NKY MED CLINIC LLC,1717 MADISON AVENUE,COVINGTON,41011,KENTON,AODE_BHSO,39.0701597083333,-84.50655175,POINT (-84.50655175 39.0701597083333)
33,SubstanceHelp,NORTH KEY COMMUNITY CARE,503 FARRELL DRIVE,COVINGTON,41012,KENTON,AODE_BHSO,39.048696,-84.52829,POINT (-84.52829 39.048696)
34,SubstanceHelp,KENTON COUNTY DETENTION CENTER,3000 DECKER CRANE LANE,COVINGTON,41017,KENTON,AODE_BHSO,39.0025233,-84.5320395,POINT (-84.5320395 39.0025233)
35,Mental,"NKY MED CLINIC, LLC",1717 MADISON AVENUE,COVINGTON,41011,KENTON,AODE_BHSO,39.0701597083333,-84.50655175,POINT (-84.50655175 39.0701597083333)
36,ChildFacility,CHILDREN'S HOME OF NORTHERN KENTUCKY,200 HOME ROAD,COVINGTON,41011,KENTON,AODE_BHSO,39.085836,-84.539347,POINT (-84.53934700000001 39.085836)
37,SubstanceHelp,MEBS COUNSELING,4339 WINSTON AVENUE,COVINGTON,41015,KENTON,AODE_BHSO,39.0371736,-84.5093223,POINT (-84.50932229999999 39.0371736)
38,ChildFacility,FAMILY SERVICES OF NORTHERN KENTUCKY,434 SCOTT BOULEVARD,COVINGTON,41011,KENTON,AODE_BHSO,39.08692527819,-84.5092353995691,POINT (-84.50923539956911 39.08692527819)
39,Mental,MEBS COUNSELING,4339 WINSTON AVENUE,COVINGTON,41015,KENTON,AODE_BHSO,39.0371736,-84.5093223,POINT (-84.50932229999999 39.0371736)
40,NursingHome,ROSEDALE GREEN,4250 GLENN AVENUE,COVINGTON,41015,KENTON,LongTerm,39.0418076976744,-84.4957143953488,POINT (-84.4957143953488 39.0418076976744)
41,NursingHome,THE PAVILION AT KENTON,401 EAST 20TH STREET,COVINGTON,41014,KENTON,LongTerm,39.0674055,-84.4999643787534,POINT (-84.4999643787534 39.0674055)
42,Mental,NORTHKEY COMMUNITY CARE,503 FARRELL DRIVE,COVINGTON,41012,KENTON,Miscellaneous,39.048696,-84.52829,POINT (-84.52829 39.048696)
