"FACILTY
TYPE","FACILITY
ID",NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,OWNER,TELEPHONE,ADM FIRST,ADM LAST,"LICENSE
EXPIRATION"
ADULT DAY HEALTH,750180,ACCESS ADHC,"908 DUPONT ROAD, SUITE 101",LOUISVILLE,KY,40207,JEFFERSON,ACCESS ADHC,(502) 891-0029,SERGE,ADAMOV,2/29/20
ADULT DAY HEALTH,750199,"ACCESS ADHC-S, LLC",912 DUPONT ROAD,LOUISVILLE,KY,40207,JEFFERSON,"ACCESS ADULT HEALTH DAY CARE CENTER, LLC",(502) 891-0029,SERGE,ADAMOV,5/31/20
ADULT DAY HEALTH,750081,ACTIVE DAY OF ASHLAND,6938 U.S. HIGHWAY 60,ASHLAND,KY,41102,BOYD,"ACSR, INC.",(606) 928-8119,DINA,GRIFFITH,11/30/20
ADULT DAY HEALTH,750141,ACTIVE DAY OF BARDSTOWN,1297 SPRINGFIELD ROAD,BARDSTOWN,KY,40004,NELSON,"ACTIVE DAY KENTUCKY, INC.",(502) 350-0663,LISA,WATSON,3/31/20
ADULT DAY HEALTH,750040,ACTIVE DAY OF BOWLING GREEN,"946 SEARCY WAY, UNIT B",BOWLING GREEN,KY,42103,WARREN,"ACSR, INC.",(270) 782-6443,DELISA,SANFORD,6/30/20
ADULT DAY HEALTH,750144,ACTIVE DAY OF BROWNSVILLE,"1430 S MAIN STREET, SUITE 234",BROWNSVILLE,KY,42210,EDMONSON,"ACSR, INC.",(270) 597-8387,SHELLY,NOLLOTH,5/31/20
ADULT DAY HEALTH,750079,ACTIVE DAY OF CAMPBELLSVILLE,1500 EAST BROADWAY STREET,CAMPBELLSVILLE,KY,42718,TAYLOR,"ACSR, INC.",(270) 465-9279,STACEY,SAPP,8/31/20
ADULT DAY HEALTH,750074,ACTIVE DAY OF ELIZABETHTOWN,1238 WOODLAND DRIVE,ELIZABETHTOWN,KY,42701,HARDIN,"ACTIVE DAY KENTUCKY, INC.",(270) 763-9192,LISA,FRENCH,8/31/20
ADULT DAY HEALTH,750147,ACTIVE DAY OF FORT THOMAS,"90 ALEXANDRIA PIKE, SUITE 4",FORT THOMAS,KY,41075,CAMPBELL,"ACTIVE DAY KENTUCKY, INC.",(859) 442-7000,TINA,BROOKS,10/31/20
ADULT DAY HEALTH,750085,ACTIVE DAY OF FRANKFORT,10 HUDSON HOLLOW ROAD,FRANKFORT,KY,40601,FRANKLIN,"ACSR, INC.",(502) 875-7555,ALLEN,GETMAN,12/31/19
