LICENSE,NAME,ADDRESS,CITY,ST,ZIP,COUNTY,OWNER,OPR FNAME,OPR LNAME,TELEPHONE
KY22023717,"21ST CENTURY ONCOLOGY OF KENTUCKY, LLC","4500 CHURCHMAN AVE, STE 100",LOUISVILLE,KY,40215,JEFFERSON,,,,(239) 461-8578
KY22026317,"21ST CENTURY ONCOLOGY OF KENTUCKY, LLC DBA",2 PHYSICIANS PARK DRIVE,FRANKFORT,KY,40601,FRANKLIN,,,,(502) 223-3551
KY22017043,"2ND CHANCE, PLLC",1420 N BROADWAY,LEXINGTON,KY,40505,FAYETTE,,,,(859) 368-8820
KY22000126,A C SANDOVAL MD,1413 NORTH ELM STREET SUITE 101,HENDERSON,KY,42420,HENDERSON,,,,(270) 827-9803
18D0324281,A C WRIGHT MD LABORATORY,430 E PLEASANT STREET,CYNTHIANA,KY,41031,HARRISON,,A. C.,WRIGHT,(606) 234-3282
KY22003551,"A CARING TOUCH, PLLC","230 FOUNTAIN COURT, SUITE 260",LEXINGTON,KY,40509,FAYETTE,,,,(859) 264-0660
18D0681245,A DAHHAN MD PSC,120 PROFESSIONAL LANE SUITE 101,HARLAN,KY,40831,HARLAN,,ABDUL,DAHHAN,(606) 573-1085
KY22000697,A JOSEPH OTT MD,134 PROFESSIONAL AVENUE,WINCHESTER,KY,40391,CLARK,,,,(859) 744-1556
KY22028212,"A NEW START II, LLC","750 SALEM DRIVE, SUITE C",OWENSBORO,KY,42301,DAVIESS,,,,(270) 663-1244
KY22028211,"A NEW START II, LLC",1910 LYDA AVENUE,BOWLING GREEN,KY,42104,WARREN,,,,(270) 904-6669
KY22023792,"A NEW START, LLC",222 PHILLIP STONE WAY,CENTRAL CITY,KY,42330,MUHLENBERG,,,,(270) 754-3494
KY22027729,A PLUS FAMILY HEALTHCARE,210 SOUTH MAIN STREET SUITE 101,BROWNSVILLE,KY,42210,EDMONSON,,,,(270) 975-4050
KY22027718,A1 HEALTHCARE CLINIC,703WEST MAIN STREET STE 8,LEBANON,KY,40033,MARION,,,,(859) 792-1420
KY22002559,AARON JONAN MEMORIAL CLINIC,832 HWY 15 NORTH,JACKSON,KY,41339,BREATHITT,,,,(606) 666-5142
KY22027721,ACTIVATE HEATLHCARE - LOCAL 392 CLINIC,"600 RODEO DRIVE, STE 300",ERLANGER,KY,41018,KENTON,,,,(773) 697-3144
KY22029109,ACTIVE CARE CHIROPRACTIC,151 EAST 3RD,MAYSVILLE,KY,41056,MASON,,,,(606) 564-6831
KY22005003,ADAIR FAMILY MEDICAL CENTER,937 CAMPBELLSVILLE ROAD,COLUMBIA,KY,42728,ADAIR,,SHERRY,JONES,(270) 384-2777
KY22029135,ADDICTION TREATMENT CENTERS LLC,1736 ALEXANDRIA DR STE 225,LEXINGTON,KY,40511,FAYETTE,,,,(859) 470-8080
KY22020195,ADMEDCO KENTUCKY PLLC,1800 OLD LEBANON ROAD,CAMPBELLSVILLE,KY,42718,TAYLOR,,,,(270) 789-2023
KY22020194,ADMEDCO KENTUCKY PLLC,"2720 OLD ROSEBUD ROAD, SUITE 110",LEXINGTON,KY,40509,FAYETTE,,,,(859) 373-0300
KY22005906,ADVANCED DERMATOLOGY & DERMAESTHETICS,10619 MEETING STREET SUITE 106,PROSPECT,KY,40059,JEFFERSON,,,,(502) 326-2622
18D0677174,ADVANCED DERMATOLOGY & DERMAESTHETICS OF,310 EAST BROADWAY,LOUISVILLE,KY,40202,JEFFERSON,,GEORGE,SONNIER,(502) 585-5249
KY22005342,"ADVANCED DERMATOLOGY, PSC",1401 HARRODSBURG ROAD STE A415,LEXINGTON,KY,40504,FAYETTE,,,,(859) 288-5004
KY22025716,"ADVANCED ENT & ALLERGY, PLLC",3515 POPLAR LEVEL ROAD,LOUISVILLE,KY,40213,JEFFERSON,,,,(502) 893-0159
KY22005041,"ADVANCED ENT & ALLERGY, PLLC","4004 DUPONT CIRCLE, #220",LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 893-0159
KY22029674,ADVANCED ENT AND ALLERGY,"9880 ANGIES WAY, SUITE 200",LOUISVILLE,KY,40207,JEFFERSON,,,,(502) 893-0159
KY22021455,"ADVANCED INTERNAL MEDICINE, PLLC",2605 KENTUCKY AVE SUITE 402,PADUCAH,KY,42003,MCCRACKEN,,,,(270) 366-7650
KY22016447,ADVANCED PAIN AND SPINE INSTITUTE PLLC,"906 US HIGHWAY 68, UNIT C",MAYSVILLE,KY,41056,MASON,,,,(606) 564-9320
KY22018269,ADVANCED PAIN CARE CLINIC,"200 CLINIC DRIVE, 6TH FLOOR",MADISONVILLE,KY,42431,HOPKINS,,,,(270) 326-6145
KY22011026,ADVANCED PAIN TREATMENT CENTER,162 BARNWOOD DRIVE,EDGEWOOD,KY,41017,KENTON,,,,(859) 331-4159
KY22027431,ADVANCED PRIMARY CARE,1243 WILKERSON STREET,FLATWOODS,KY,41139,GREENUP,,,,(304) 633-8241
KY22018533,"ADVANCED SPINE & PAIN MANAGEMENT, INC","320 THOMAS MORE PARKWAY, SUITE 202",CRESTVIEW HILLS,KY,41017,KENTON,,,,(859) 426-7246
KY22014928,ADVANCED UROLOGY,"2161 LEXINGTON ROAD, STE 2",RICHMOND,KY,40475,MADISON,,,,(859) 624-2442
