Chemical,Concentration_ng_L_Error,Concentration_ng_L_Value,Day,Mass_Load_g_d_Error,Mass_Load_g_d_Value,Month,Population_Normalized_Mass_Lo_1,Population_Normalized_Mass_Load,Sample_Date,Site,Week
Oxycodone,1.11,40.54,(1) Mon,0.01,0.26,(05) May,0,47.26,2018-05-14 03:00:00,TP04,0
Oxycodone,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04,0
Oxycodone,2.03,45.45,(3) Wed,0.01,0.32,(05) May,0,58.3,2018-05-16 03:00:00,TP04,0
Oxycodone,0.32,48.86,(4) Thu,0.0,0.33,(05) May,0,60.19,2018-05-17 03:00:00,TP04,0
Oxycodone,0.31,36.5,(5) Fri,0.0,0.22,(05) May,0,40.99,2018-05-18 03:00:00,TP04,0
Oxycodone,0.59,19.52,(6) Sat,0.0,0.11,(05) May,0,19.68,2018-05-19 03:00:00,TP04,0
Oxycodone,7.23,85.38,(7) Sun,0.04,0.47,(05) May,0,86.44,2018-05-20 03:00:00,TP04,0
Noroxycodone,0.86,51.42,(1) Mon,0.01,0.33,(05) May,0,59.94,2018-05-14 03:00:00,TP04,0
Noroxycodone,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04,0
Noroxycodone,0.84,55.61,(3) Wed,0.01,0.39,(05) May,0,71.32,2018-05-16 03:00:00,TP04,0
Noroxycodone,1.14,62.11,(4) Thu,0.01,0.42,(05) May,0,76.52,2018-05-17 03:00:00,TP04,0
Noroxycodone,1.15,47.38,(5) Fri,0.01,0.29,(05) May,0,53.21,2018-05-18 03:00:00,TP04,0
Noroxycodone,0.22,23.07,(6) Sat,0.0,0.13,(05) May,0,23.26,2018-05-19 03:00:00,TP04,0
Noroxycodone,9.32,81.43,(7) Sun,0.05,0.45,(05) May,0,82.43,2018-05-20 03:00:00,TP04,0
Codeine,1.69,40.92,(1) Mon,0.01,0.26,(05) May,0,47.7,2018-05-14 03:00:00,TP04,0
Codeine,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04,0
Codeine,1.02,31.81,(3) Wed,0.01,0.22,(05) May,0,40.79,2018-05-16 03:00:00,TP04,0
Codeine,3.26,52.59,(4) Thu,0.02,0.35,(05) May,0,64.78,2018-05-17 03:00:00,TP04,0
Codeine,0.34,49.53,(5) Fri,0.0,0.3,(05) May,0,55.62,2018-05-18 03:00:00,TP04,0
Codeine,0.35,23.14,(6) Sat,0.0,0.13,(05) May,0,23.33,2018-05-19 03:00:00,TP04,0
Codeine,10.7,86.58,(7) Sun,0.06,0.48,(05) May,0,87.65,2018-05-20 03:00:00,TP04,0
Fentanyl,-9999.99,-9999.99,(1) Mon,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-14 03:00:00,TP04,0
Fentanyl,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04,0
Fentanyl,-9999.99,-9999.99,(3) Wed,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-16 03:00:00,TP04,0
Fentanyl,-9999.99,-9999.99,(4) Thu,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-17 03:00:00,TP04,0
Fentanyl,-9999.99,-9999.99,(5) Fri,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-18 03:00:00,TP04,0
Fentanyl,-9999.99,-9999.99,(6) Sat,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-19 03:00:00,TP04,0
Fentanyl,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-20 03:00:00,TP04,0
Norfentanyl,0.32,4.83,(1) Mon,0.0,0.03,(05) May,0,5.63,2018-05-14 03:00:00,TP04,0
Norfentanyl,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04,0
Norfentanyl,0.72,6.76,(3) Wed,0.01,0.05,(05) May,0,8.67,2018-05-16 03:00:00,TP04,0
Norfentanyl,0.43,6.46,(4) Thu,0.0,0.04,(05) May,0,7.96,2018-05-17 03:00:00,TP04,0
Norfentanyl,0.13,3.92,(5) Fri,0.0,0.02,(05) May,0,4.4,2018-05-18 03:00:00,TP04,0
Norfentanyl,0.0,4.49,(6) Sat,0.0,0.02,(05) May,0,4.52,2018-05-19 03:00:00,TP04,0
Norfentanyl,1.02,8.78,(7) Sun,0.01,0.05,(05) May,0,8.89,2018-05-20 03:00:00,TP04,0
Heroin,1.5,10.73,(1) Mon,0.01,0.07,(05) May,0,12.51,2018-05-14 03:00:00,TP04,0
Heroin,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04,0
Heroin,0.54,15.8,(3) Wed,0.0,0.11,(05) May,0,20.27,2018-05-16 03:00:00,TP04,0
Heroin,0.8,14.36,(4) Thu,0.01,0.1,(05) May,0,17.69,2018-05-17 03:00:00,TP04,0
Heroin,1.71,19.56,(5) Fri,0.01,0.12,(05) May,0,21.97,2018-05-18 03:00:00,TP04,0
Heroin,0.06,15.61,(6) Sat,0.0,0.09,(05) May,0,15.74,2018-05-19 03:00:00,TP04,0
Heroin,-9999.99,-9999.99,(7) Sun,-9999.99,-9999.99,(05) May,-10000,-9999.99,2018-05-20 03:00:00,TP04,0
6-Acetylmorphine,0.23,14.23,(1) Mon,0.0,0.09,(05) May,0,16.59,2018-05-14 03:00:00,TP04,0
6-Acetylmorphine,9999.99,9999.99,(2) Tue,9999.99,9999.99,(05) May,10000,9999.99,2018-05-15 03:00:00,TP04,0
